sedol,country,marketclass,security,industry,weightchange,excessvolume,pricechangepercent
5249080,JAPAN,DM,TOYOTA TSUSHO,Capital Goods,0.500064136,-0.183591955,-0.000722413
5704879,GERMANY,DMSC,ELMOS SEMICONDUCTOR AG,Semiconductors & Semiconductor Equipment,0.500161744,0.230421155,-0.005080214
5633605,MALAYSIA,EM,AMMB HOLDINGS,Banks,0.500590478,-0.10994391,-0.000900901
5705496,USA,DMSC,MONARCH CASINO & RESORT,Consumer Services,0.500946086,-0.076909111,0.021755581
B1YWXY3,KOREA,EM,HYUNDAI DEPT STORE,Retailing,0.500972947,0.164449902,-0.009242958
BN3ZYS8,JAPAN,DM,HISAMITSU PHARMACEUTICAL,"Pharmaceuticals, Biotechnology & Life Sciences",0.501037907,-0.205202347,0.019089282
7370063,JAPAN,DMSC,NIPPON BEET SUGAR MFG CO,Food Beverage & Tobacco,0.501077861,-0.215809694,-0.00974106
BDB4RS8,JAPAN,DMSC,KAKEN PHARMACEUTICAL CO,"Pharmaceuticals, Biotechnology & Life Sciences",0.501257234,-0.246776811,0.004556224
BNBNNH6,POLAND,EM,TAURON POLSKA ENERGIA,Utilities,0.501320312,-0.3058565,-0.020112753
5541979,JAPAN,DMSC,NIHON NOHYAKU CO,Materials,0.502056735,-0.150406966,0.018909627
5124819,JAPAN,DMSC,KAGA ELECTRONICS CO,Technology Hardware & Equipment,0.502177727,-0.282752627,0.00368947
4820301,USA,DMSC,ANAPTYSBIO,"Pharmaceuticals, Biotechnology & Life Sciences",0.502313834,0.110803164,0.00076864
4884006,CHINA,EMSC,CHINA SINGYES SOLAR TECH,Capital Goods,0.502320015,-0.394481624,-0.00013328
5331114,USA,DMSC,WERNER ENTERPRISES,Transportation,0.502363849,-0.134327226,0.007859359
5710360,JAPAN,DMSC,ARCS CO,Food & Staples Retailing,0.502436902,-0.02188672,0.001654716
B66PKS8,INDONESIA,EMSC,TUNAS BARU LAMPUNG,Food Beverage & Tobacco,0.502818127,-0.248696276,0.00472255
2699547,UNITED KINGDOM,DMSC,CIVITAS SOCIAL HOUSING,Real Estate,0.503354988,0.084576687,-0.017333333
B545BK2,USA,DMSC,FRANKLIN FINL NETWORK,Banks,0.50355907,-0.279226018,-0.00564199
2001528,UNITED KINGDOM,DMSC,PZ CUSSONS,Household & Personal Products,0.50384887,-0.473421613,-0.012195122
BRFG3B3,KOREA,EMSC,WHANIN PHARMACEUTICAL,"Pharmaceuticals, Biotechnology & Life Sciences",0.504131543,-0.370378132,-0.005767013
B84YZ75,JAPAN,DMSC,UACJ CORP,Materials,0.504425041,1.145404209,-0.052208835
