country,marketclass,pro_forma_gics_industry_group_name,weightchange,excessvolume,pricechangeeffective
INDIA,EMSC,Insurance,0.030833,0.720641636,93
CHINA,EMSC,Food Beverage & Tobacco,0.012,0.309378945,-0.26
BRAZIL,EMSC,Consumer Services,0.011429,0.044939547,1.99
USA,DMSC,Software & Services,0.010751,-0.34737835,-0.31
THAILAND,EMSC,Media,0.01005,-0.381416738,-0.5
SPAIN,DMSC,Consumer Services,0.01,0.214757303,-0.33
PHILIPPINES,EM,Capital Goods,0.01,0.857098334,-0.78
INDIA,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.01,-0.552743558,3.55
HONG KONG,DMSC,Capital Goods,0.01,-0.141110644,0.06
INDIA,EM,Banks,0.009481,0.175710861,-24.65
USA,DMSC,Banks,0.008821,-0.030862082,1.69
KOREA,EMSC,Real Estate,0.008,1.323842752,-3000
USA,DMSC,Technology Hardware & Equipment,0.0077,0.675691416,-1.56
HONG KONG,DMSC,Retailing,0.007699,0.190343718,-0.35
CHINA,EMSC,Consumer Durables & Apparel,0.0075,0.836834226,0.2
GERMANY,DMSC,Semiconductors & Semiconductor Equipment,0.0075,-0.009484187,-2.057
FRANCE,DMSC,Materials,0.0075,0.370217079,-4.445
USA,DMSC,Insurance,0.006675,0.111416909,-1.83
UNITED KINGDOM,DMSC,Retailing,0.006667,0.141310794,-17
SOUTH AFRICA,EMSC,Consumer Services,0.006667,0.233087054,-11
UNITED KINGDOM,DMSC,Materials,0.006667,0.285636987,-13.1
NORWAY,DMSC,Transportation,0.006027,0.675162079,-2.5
CANADA,DMSC,Utilities,0.00601,-0.401259988,-0.74
INDIA,EMSC,Utilities,0.006,0.312463858,-25.6
SWEDEN,DMSC,Consumer Services,0.006,-0.619575126,-3.5
INDIA,EMSC,Capital Goods,0.006,0.269995656,5.1
TAIWAN,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.006,-0.441536647,-4.5
ISRAEL,DMSC,Banks,0.005714,0.128317305,-306
USA,DMSC,Software & Services,0.005696,-0.228384537,-0.13
FINLAND,DMSC,Retailing,0.005556,-0.289400581,0.59
FRANCE,DM,Utilities,0.005385,0.404944044,-0.83
USA,DMSC,Semiconductors & Semiconductor Equipment,0.005119,-0.130689415,-4.2
UNITED KINGDOM,DMSC,Materials,0.005008,0.13577248,-14.7
DENMARK,DMSC,Food Beverage & Tobacco,0.005,0.485236261,13.5
INDIA,EMSC,Capital Goods,0.005,-0.16469327,-62.65
SINGAPORE,DMSC,Food Beverage & Tobacco,0.005,-0.531133553,0
INDIA,EMSC,Software & Services,0.005,0.464120411,-15.65
HONG KONG,DMSC,Food & Staples Retailing,0.005,-0.492029903,-0.05
SWEDEN,DMSC,Banks,0.005,-0.417129493,-2.7
USA,DMSC,Retailing,0.005,0.568594288,0
JAPAN,DMSC,Real Estate,0.005,-0.15449724,85
MALAYSIA,EMSC,Real Estate,0.005,0.802271776,-0.02
