excessvolumewczero,excessvolumewchange,pricechangeeffectivewchange,pricechangeeffectivewczero,,,,,,
0.39,0.8,-0.38,142,,,,,,
-0.38,0.2,0.91,0.03,,,,,,
-0.36,0.58,4.54,0.56,,,,,,
-0.4,0.56,0.14,0.28,,,,,,
0.01,1.37,-0.14,-0.04,,,,,,
0.08,1.47,0.9,-31.5,,,,,,
0.08,0.66,6.4,0.06,,,,,,
-0.28,0.92,-0.62,0.32,,,,,,
-0.38,0.48,-60,-0.86,,,,,,
-0.29,0.83,42,-6.5,,,,,,
-0.7,0.14,-0.47,-5,,,,,,
-0.02,0.13,4.33,-1.35,,,,,,
-0.03,0.31,-0.64,0.01,,,,,,
-0.36,-0.16,-0.1,0.65,,,,,,
-0.5,0.36,-0.46,1.19,,,,,,
-0.33,0.1,0.54,0.38,,,,,,
-0.1,0.27,1.6,-205,,,,,,
0.46,0.35,0.1,-8.6,,,,,,
-0.42,0.76,-0.24,0.5,,,,,,
0.31,0.24,0,1.84,,,,,,
-0.04,0,-0.08,19,,,,,,
0.3,1.2,0.04,-63.5,,,,,,
0.14,-0.52,-0.01,0.8,,,,,,
0.02,-0.06,0.75,-225,,,,,,
-0.1,0.69,0.78,38,,,,,,
0.73,-0.31,0.3,10.5,,,,,,
0.06,-0.13,0.21,4,,,,,,
-0.17,0.71,4.17,-0.09,,,,,,
0.03,-0.39,0.08,-1.04,,,,,,
-0.04,0.74,0.27,1.31,,,,,,
0.17,0.93,16,-1.18,,,,,,
-1,1.41,1.07,0,,,,,,
-0.26,1.3,1.5,36,,,,,,
-0.11,0.03,0.57,1.25,,,,,,
-0.46,-0.13,-1.94,0.85,,,,,,
-0.35,0.07,0.67,0.67,,,,,,
0.14,1.23,-0.6,0.05,,,,,,
-0.2,-0.26,8.25,-230,,,,,,
-0.23,0.28,0.01,-16.2,,,,,,
-0.17,0.96,-0.01,-6.5,,,,,,
-0.46,1.08,0.94,-1,,,,,,
-0.02,0.93,0.68,-0.11,,,,,,
0.01,0.59,5,0.22,,,,,,
-0.49,-0.22,16,-9,,,,,,
-0.12,0.55,-640,-0.8,,,,,,
-0.22,0.42,43,-0.26,,,,,,
-0.17,1,21,-8.09,,,,,,
-0.19,0.52,0.27,14.9,,,,,,
-0.39,1.01,14,-26,,,,,,
0.92,1.07,5.5,-247,,,,,,
0.25,1.28,0.08,780,,,,,,
0.26,1.79,0.06,62,,,,,,
-0.06,0.6,0.08,49,,,,,,
0.13,-0.48,0.01,0.7,,,,,,
0.14,0.04,0.89,-54,,,,,,
0.07,0.2,-1.9,6.5,,,,,,
-0.1,0.86,-2.82,2.45,,,,,,
0.26,0.09,-0.56,-1.31,,,,,,
0.08,-0.55,0.26,1.4,,,,,,
-0.05,0.2,-2.3,-4,,,,,,
0.04,-0.15,0.25,-21.8,,,,,,
-0.15,-0.2,2.1,2.43,,,,,,
-0.61,0.16,0.03,1.4,,,,,,
0.03,0.27,-0.71,103,,,,,,
1.61,1.51,-1.86,-0.47,,,,,,
-0.09,0.36,0.75,-40.5,,,,,,
-0.1,0.19,0.45,-1.32,,,,,,
0.09,0.51,0.26,-4.04,,,,,,
-0.01,1.23,-0.23,-120,,,,,,
0.03,1.63,-10.22,-11.5,,,,,,
0.1,0.22,0.73,6.7,,,,,,
0.38,0.64,-4.96,26.5,,,,,,
-0.07,-0.03,0.1,0.49,,,,,,
-0.11,0.41,-2.89,-11.5,,,,,,
-0.35,0.14,-10.92,-14.6,,,,,,
-0.25,0.59,-0.4,1.25,,,,,,
-0.21,0.84,0.31,1.74,,,,,,
-0.07,1.82,-0.2,7.25,,,,,,
-0.12,0.44,-91.75,-0.35,,,,,,
0.01,0.49,0.23,-28,,,,,,
-0.04,-0.57,0.27,0.69,,,,,,
-0.37,-0.74,0.11,0.45,,,,,,
0.33,0.21,1.1,-29.2,,,,,,
-0.13,0.68,-2.46,6.6,,,,,,
0.04,-0.54,0.33,-0.17,,,,,,
-0.01,-0.17,0.15,-5.2,,,,,,
-0.09,0.6,-0.66,-1.25,,,,,,
-0.17,0.51,-0.86,21,,,,,,
-0.24,0,0.15,-1.3,,,,,,
-0.06,1.04,0.46,-0.25,,,,,,
-0.08,0.23,11.41,0.25,,,,,,
-0.16,0.27,-3.71,0.42,,,,,,
-0.23,-0.07,0.09,-0.28,,,,,,
-0.15,-0.29,0.9,-122,,,,,,
-0.26,1.35,0.53,-6,,,,,,
0.08,0.45,-14.14,-10.7,,,,,,
0.28,-0.29,-0.28,-0.06,,,,,,
-0.14,1.05,-7.2,0.11,,,,,,
-0.02,0.05,0.56,-0.01,,,,,,
-0.15,0.31,0.08,0,,,,,,
-0.03,0.4,-0.31,-0.03,,,,,,
-0.01,-1,0,-0.28,,,,,,
0.41,0.1,0.01,-4.01,,,,,,
0.17,0.77,0.08,-2.11,,,,,,
-0.09,1.75,2820,-0.12,,,,,,
0.14,0.53,0.98,-0.05,,,,,,
-0.12,-0.07,42.1,0.16,,,,,,
0.13,2.24,0.31,-0.19,,,,,,
-0.09,2.04,0.94,0.65,,,,,,
-0.2,1.29,-4.1,-0.05,,,,,,
-0.1,1.93,183,0.78,,,,,,
-0.02,0.26,0.06,-0.08,,,,,,
-0.13,0.3,0.16,-0.36,,,,,,
0.28,-0.16,0.22,0.15,,,,,,
-0.22,0.32,-0.28,-0.65,,,,,,
0.3,-0.18,0.01,0.28,,,,,,
0.05,1.31,0.08,-1.97,,,,,,
0.06,2.01,-90,2.59,,,,,,
-0.12,-0.69,0.06,0.63,,,,,,
0.04,0.8,-0.01,-0.23,,,,,,
0.19,0.18,0.04,-0.14,,,,,,
-0.12,-0.15,0.06,-0.3,,,,,,
0.12,-0.11,0.25,0.17,,,,,,
0.11,3.5,-0.14,0.15,,,,,,
0.18,0.77,-0.7,0.2,,,,,,
-0.26,0.03,0.02,-0.03,,,,,,
-0.11,-0.31,0.22,0.12,,,,,,
0.18,1.32,0.32,0.22,,,,,,
-0.03,2.52,0,-0.02,,,,,,
-0.06,0.19,0.04,-0.7,,,,,,
-0.16,-0.09,0.15,0.22,,,,,,
-0.31,0.12,0.98,0.34,,,,,,
-0.42,-0.01,0.04,2.83,,,,,,
-0.15,0.68,0.2,-1.58,,,,,,
-0.02,0.48,0.06,-3.37,,,,,,
0.13,0.75,0.29,-0.03,,,,,,
0.11,-0.31,0.09,1.1,,,,,,
-0.12,0.1,-0.01,0.04,,,,,,
0.02,0.5,-0.85,0.5,,,,,,
-0.08,-0.2,0.63,-0.16,,,,,,
0.11,-0.12,17,0.09,,,,,,
-0.26,1.54,52,0.01,,,,,,
-0.15,2.47,150,0.16,,,,,,
0.03,0.74,540,0,,,,,,
0.04,0.56,58,0.87,,,,,,
0.4,-0.14,83.2,0.14,,,,,,
0.04,0.15,39.15,0.29,,,,,,
-0.21,-0.53,15.95,0.74,,,,,,
0.22,0.58,53.75,0.64,,,,,,
-0.11,-0.18,10.1,5.5,,,,,,
-0.03,0.66,40.7,0.72,,,,,,
-0.05,-0.1,139.6,0.25,,,,,,
0.11,-0.27,28.2,-1.15,,,,,,
0.05,-0.17,114.2,2.5,,,,,,
-0.05,-0.43,8.05,-1.58,,,,,,
0.8,-0.39,0.5,14.66,,,,,,
-0.16,0.98,-500,-0.08,,,,,,
-0.02,-0.35,370,-0.3,,,,,,
-0.48,0.21,-600,1.02,,,,,,
-0.11,-0.32,2200,-3.14,,,,,,
-0.3,1.45,-6550,2.95,,,,,,
-0.22,0.79,830,0.39,,,,,,
0.69,0.14,1850,-0.73,,,,,,
-0.15,0.13,580,1.54,,,,,,
-0.21,-0.32,10,-0.14,,,,,,
-0.22,-0.08,350,0.1,,,,,,
-0.26,-0.28,1300,2.2,,,,,,
-0.16,0.53,-45,0.18,,,,,,
-0.9,-0.08,-385,6.32,,,,,,
0.02,-0.2,-220,4.35,,,,,,
0.1,1.38,-250,0.5,,,,,,
0.03,0.57,-500,25,,,,,,
0.4,0.19,610,0.92,,,,,,
0.06,0.21,-25,12.1,,,,,,
0.22,0.48,-630,-22,,,,,,
-0.07,-0.11,2650,0.8,,,,,,
-0.13,-0.11,450,1.9,,,,,,
-0.15,-0.17,630,-24,,,,,,
-0.02,3.4,-670,2.75,,,,,,
0.1,0.07,490,-4.4,,,,,,
0.14,0.7,400,-1.75,,,,,,
0.16,0.54,4600,220,,,,,,
0.16,2.72,-550,-1.2,,,,,,
-0.01,0.08,2600,-1.25,,,,,,
-0.19,-0.08,1550,1.6,,,,,,
0.74,-0.11,140,26,,,,,,
0,0.11,100,4.7,,,,,,
0.15,0.91,-1350,5.6,,,,,,
0.12,2.07,-2250,2.7,,,,,,
-0.06,0.25,-300,15,,,,,,
0.46,-0.26,1050,-90,,,,,,
0.33,0.39,0.11,-6.2,,,,,,
-0.1,0.17,-0.16,18.2,,,,,,
0,0.97,0.14,3.6,,,,,,
0.11,-0.01,0.1,-0.1,,,,,,
-0.12,0.04,0.2,1.25,,,,,,
-0.03,-0.18,0.03,-6.7,,,,,,
-0.27,2.57,1.63,23,,,,,,
0.01,0.58,347,5.81,,,,,,
-0.15,-0.12,0.03,1,,,,,,
-0.02,0.4,0.2,5.52,,,,,,
-0.07,0.46,0.1,-1.6,,,,,,
-0.12,0.9,0.21,-0.96,,,,,,
0,-0.42,11.3,3.89,,,,,,
0.04,-0.33,14.3,2.56,,,,,,
0.05,0.54,0.96,2.12,,,,,,
-0.13,0.79,0.01,0,,,,,,
-0.13,0.07,0.02,9.66,,,,,,
0.31,0.35,0.25,-1.53,,,,,,
-0.01,-0.27,-3.5,4.21,,,,,,
-0.17,-0.14,0.3,1.59,,,,,,
0.76,-0.31,1.8,1.79,,,,,,
0.13,0.95,14.5,-0.28,,,,,,
-0.06,0.65,30450,-1.03,,,,,,
0.25,-0.17,-0.17,-0.59,,,,,,
-0.03,0,0.81,0.99,,,,,,
-0.02,-0.23,0.21,0.23,,,,,,
-0.09,0.51,-270,-0.81,,,,,,
0.18,0.35,-0.08,0.65,,,,,,
-0.12,-0.07,0.03,1.2,,,,,,
0.13,-0.67,0.07,2.9,,,,,,
0.22,0.02,0.73,-2.4,,,,,,
-0.18,0.57,-0.07,0.14,,,,,,
-0.02,-0.48,1.09,4.9,,,,,,
0.27,-0.62,0.15,-3.22,,,,,,
0.05,1.23,0.38,-0.5,,,,,,
0.24,0.16,-0.5,-1.26,,,,,,
-0.07,-0.09,-1.04,-2.37,,,,,,
-0.13,0.39,19.8,-0.48,,,,,,
0.35,-0.36,50,3.36,,,,,,
-0.06,1.07,-24500,6.92,,,,,,
-0.04,0.2,60,-0.26,,,,,,
-0.13,-0.14,-33,-0.65,,,,,,
0,0.24,0.26,2.75,,,,,,
-0.07,0.51,-0.04,1.23,,,,,,
0.62,0.04,1.92,-0.35,,,,,,
0.94,0.1,0.13,-0.56,,,,,,
-0.04,0.86,-0.03,-0.91,,,,,,
0.02,-0.28,1.4,0.04,,,,,,
-0.19,0.15,0.03,3.19,,,,,,
-0.12,1.12,-0.1,0.35,,,,,,
-0.04,-0.33,1.05,-0.11,,,,,,
0.14,-0.36,0.02,-2.2,,,,,,
-0.12,-0.19,-0.05,-2.43,,,,,,
-0.15,0.32,4.76,6.93,,,,,,
-0.13,0.77,-195,9.49,,,,,,
0.05,-0.18,85,-340,,,,,,
0.16,0.79,-1.7,-430,,,,,,
0.04,1.41,181,-15.5,,,,,,
-0.13,0.24,-0.03,-1.6,,,,,,
-0.01,-0.28,-0.08,-20.5,,,,,,
-0.49,-0.08,25,-7.9,,,,,,
-0.02,1,-2550,-16.2,,,,,,
-0.07,0.77,-2800,-56,,,,,,
0.07,0.27,-4500,8.7,,,,,,
-0.17,-0.22,0.22,-4.2,,,,,,
0.29,0.06,0.16,47.85,,,,,,
-0.06,-0.26,2.22,-2.44,,,,,,
-0.12,-0.31,-0.82,-3.5,,,,,,
0,0.01,12.23,28,,,,,,
0.2,0,0.84,-6.6,,,,,,
-0.05,0.14,7.09,0.1,,,,,,
-0.26,-0.16,0.08,-12.5,,,,,,
-0.28,-0.14,59.3,0.06,,,,,,
-0.16,0.68,1100,0,,,,,,
-0.23,-0.21,16,0.25,,,,,,
-0.38,-0.28,-1.04,0.24,,,,,,
-0.37,-0.34,-0.26,0.14,,,,,,
-0.32,-0.34,-0.11,0,,,,,,
-0.26,0,0.09,-0.16,,,,,,
-0.26,-0.22,0.01,-1.18,,,,,,
-0.2,-0.24,350,-1.24,,,,,,
-0.09,0.32,0.02,-1.42,,,,,,
0.56,-0.66,-11.5,0.33,,,,,,
-0.43,0.02,2.9,0.03,,,,,,
0.29,0.76,3.1,0.13,,,,,,
-0.31,0.28,10,-1.19,,,,,,
0.84,0.3,2,0.14,,,,,,
-0.06,0.51,-450,-0.88,,,,,,
-0.01,0.23,0.82,-0.37,,,,,,
-0.14,-0.09,-0.07,-1.11,,,,,,
0.03,-0.19,-0.4,0.71,,,,,,
-0.09,0.37,-4000,2.26,,,,,,
0.07,1.03,-28,-0.16,,,,,,
-0.11,0.5,-700,0.16,,,,,,
-0.19,-0.34,0.93,-0.53,,,,,,
0,-0.54,14.8,0.95,,,,,,
0,-0.24,0.1,-7.4,,,,,,
-0.04,0.15,-3950,3.65,,,,,,
-0.08,0.02,0.28,0,,,,,,
0.06,-0.21,1.29,-0.5,,,,,,
-0.21,-0.34,-3,-1.27,,,,,,
0.03,0.51,-6300,0.48,,,,,,
-0.09,-0.03,1050,1.04,,,,,,
0.02,-0.13,-8.35,1.43,,,,,,
0.22,-0.19,-0.55,0.25,,,,,,
-0.19,-0.22,174.8,-11.75,,,,,,
-0.18,0.24,-0.01,-1.53,,,,,,
-0.12,0,3.25,-0.05,,,,,,
-0.14,0.49,-0.03,-0.17,,,,,,
-0.2,0.73,-0.09,4.1,,,,,,
-0.11,0.12,-68,-3.1,,,,,,
-0.18,-0.17,0.2,0.26,,,,,,
-0.05,-0.6,-0.01,-0.4,,,,,,
-0.15,-0.12,-0.02,-0.7,,,,,,
0.07,-0.09,1.39,0.52,,,,,,
-0.02,-0.54,-0.1,-0.32,,,,,,
-0.19,0.44,-0.5,0.5,,,,,,
-0.17,0.05,4.04,1.85,,,,,,
0.03,0.4,48,-1.64,,,,,,
0.2,0.08,1.55,-0.14,,,,,,
-0.08,-0.35,0,-1.77,,,,,,
-0.31,-0.15,0.08,-4.2,,,,,,
0.05,-0.17,0.11,-1.36,,,,,,
-0.12,-0.31,0.96,-2.15,,,,,,
